update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.5,953,0,0,0,0,953,0,0,0,0,0
1,0.499985,1016,0,0,0,0,1016,0,0,0,0,0
2,0.499981,1082,0,0,0,0,1082,0,0,0,0,0
3,0.499984,1131,0,0,0,0,1131,0,0,0,0,0
4,0.499988,1200,0,0,0,0,1200,0,0,0,0,0
5,0.499975,1253,0,0,0,0,1253,0,0,0,0,0
6,0.499984,1305,0,0,0,0,1305,0,0,0,0,0
7,0.499995,1359,0,0,0,0,1359,0,0,0,0,0
8,0.499995,1412,0,0,0,0,1412,0,0,0,0,0
9,0.499991,1458,0,0,0,0,1458,0,0,0,0,0
10,0.49999,1498,0,0,0,0,1498,0,0,0,0,0
11,0.499995,1551,0,0,0,0,1551,0,0,0,0,0
12,0.499976,1607,0,0,0,0,1607,0,0,0,0,0
13,0.499969,1644,0,0,0,0,1644,0,0,0,0,0
14,0.499985,1695,0,0,0,0,1695,0,0,0,0,0
15,0.499963,1743,0,0,0,0,1743,0,0,0,0,0
16,0.499959,1786,0,0,0,0,1786,0,0,0,0,0
17,0.49993,1829,0,0,0,0,1829,0,0,0,0,0
18,0.499898,1871,0,0,0,0,1871,0,0,0,0,0
19,0.499905,1898,0,0,0,0,1898,0,0,0,0,0
20,0.499906,1932,0,0,0,0,1932,0,0,0,0,0
21,0.499902,1975,0,0,0,0,1975,0,0,0,0,0
22,0.499926,2012,0,0,0,0,2012,0,0,0,0,0
23,0.499907,2043,0,0,0,0,2043,0,0,0,0,0
24,0.499931,2089,0,0,0,0,2089,0,0,0,0,0
25,0.499946,2128,0,0,0,0,2128,0,0,0,0,0
26,0.499947,2185,0,0,0,0,2185,0,0,0,0,0
27,0.499937,2243,0,0,0,0,2243,0,0,0,0,0
28,0.499922,2289,0,0,0,0,2289,0,0,0,0,0
29,0.49992,2343,0,0,0,0,2343,0,0,0,0,0
30,0.499939,2389,0,0,0,0,2389,0,0,0,0,0
31,0.499953,2434,0,0,0,0,2434,0,0,0,0,0
32,0.499967,2487,0,0,0,0,2487,0,0,0,0,0
33,0.499967,2527,0,0,0,0,2527,0,0,0,0,0
34,0.499976,2582,0,0,0,0,2582,0,0,0,0,0
35,0.499967,2632,0,0,0,0,2632,0,0,0,0,0
36,0.499944,2698,0,0,0,0,2698,0,0,0,0,0
37,0.499893,2754,0,0,0,0,2754,0,0,0,0,0
38,0.499881,2822,0,0,0,0,2822,0,0,0,0,0
39,0.499918,2876,0,0,0,0,2876,0,0,0,0,0
40,0.499927,2938,0,0,0,0,2938,0,0,0,0,0
41,0.499914,3013,0,0,0,0,3013,0,0,0,0,0
42,0.499908,3092,0,0,0,0,3092,0,0,0,0,0
43,0.499927,3161,0,0,0,0,3161,0,0,0,0,0
44,0.499957,3248,0,0,0,0,3248,0,0,0,0,0
45,0.499959,3335,0,0,0,0,3335,0,0,0,0,0
46,0.499953,3430,0,0,0,0,3430,0,0,0,0,0
47,0.499939,3528,0,0,0,0,3528,0,0,0,0,0
48,0.499969,3625,0,0,0,0,3625,0,0,0,0,0
49,0.499989,3722,0,0,0,0,3722,0,0,0,0,0
50,0.499999,3826,0,0,0,0,3826,0,0,0,0,0
51,0.499962,3908,0,0,0,0,3908,0,0,0,0,0
52,0.499961,4026,0,0,0,0,4026,0,0,0,0,0
53,0.499953,4158,0,0,0,0,4158,0,0,0,0,0
54,0.499949,4270,0,0,0,0,4270,0,0,0,0,0
55,0.499936,4391,0,0,0,0,4391,0,0,0,0,0
56,0.499977,4510,0,0,0,0,4510,0,0,0,0,0
57,0.499973,4651,0,0,0,0,4651,0,0,0,0,0
58,0.500015,4789,0,0,0,0,4789,0,0,0,0,0
59,0.500014,4946,0,0,0,0,4946,0,0,0,0,0
60,0.500002,5102,0,0,0,0,5102,0,0,0,0,0
61,0.500039,5276,0,0,0,0,5276,0,0,0,0,0
62,0.500078,5441,0,0,0,0,5441,0,0,0,0,0
63,0.500019,5603,0,0,0,0,5603,0,0,0,0,0
64,0.499977,5765,0,0,0,0,5765,0,0,0,0,0
65,0.499991,5937,0,0,0,0,5937,0,0,0,0,0
66,0.49995,6122,0,0,0,0,6122,0,0,0,0,0
67,0.499978,6294,0,0,0,0,6294,0,0,0,0,0
68,0.50001,6476,0,0,0,0,6476,0,0,0,0,0
69,0.499969,6665,0,0,0,0,6665,0,0,0,0,0
70,0.50005,6858,0,0,0,0,6858,0,0,0,0,0
71,0.500042,7065,0,0,0,0,7065,0,0,0,0,0
72,0.500006,7235,0,0,0,0,7235,0,0,0,0,0
73,0.499969,7429,0,0,0,0,7429,0,0,0,0,0
74,0.499965,7620,0,0,0,0,7620,0,0,0,0,0
75,0.499939,7794,0,0,0,0,7794,0,0,0,0,0
76,0.499968,7963,0,0,0,0,7963,0,0,0,0,0
77,0.500015,8116,0,0,0,0,8116,0,0,0,0,0
78,0.500014,8281,0,0,0,0,8281,0,0,0,0,0
79,0.500024,8430,0,0,0,0,8430,0,0,0,0,0
80,0.500015,8567,0,0,0,0,8567,0,0,0,0,0
81,0.50008,8709,0,0,0,0,8709,0,0,0,0,0
82,0.500138,8847,0,0,0,0,8847,0,0,0,0,0
83,0.500192,8978,0,0,0,0,8978,0,0,0,0,0
84,0.500247,9106,0,0,0,0,9106,0,0,0,0,0
85,0.500299,9199,0,0,0,0,9199,0,0,0,0,0
86,0.50032,9303,0,0,0,0,9303,0,0,0,0,0
87,0.500362,9400,0,0,0,0,9400,0,0,0,0,0
88,0.500387,9485,0,0,0,0,9485,0,0,0,0,0
89,0.500394,9551,0,0,0,0,9551,0,0,0,0,0
90,0.500433,9619,0,0,0,0,9619,0,0,0,0,0
91,0.500435,9676,0,0,0,0,9676,0,0,0,0,0
92,0.500451,9723,0,0,0,0,9723,0,0,0,0,0
93,0.500481,9770,0,0,0,0,9770,0,0,0,0,0
94,0.500485,9803,0,0,0,0,9803,0,0,0,0,0
95,0.500488,9832,0,0,0,0,9832,0,0,0,0,0
96,0.500513,9855,0,0,0,0,9855,0,0,0,0,0
