update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.5,953,0,0,0,0,953,0,0,0,0,0
1,0.5,953,0,0,0,0,953,0,0,0,0,0
2,0.5,953,0,0,0,0,953,0,0,0,0,0
3,0.5,953,0,0,0,0,953,0,0,0,0,0
4,0.5,954,0,0,0,0,954,0,0,0,0,0
5,0.50003,959,0,0,0,0,959,0,0,0,0,0
6,0.50001,961,0,0,0,0,961,0,0,0,0,0
7,0.50001,961,0,0,0,0,961,0,0,0,0,0
8,0.50001,961,0,0,0,0,961,0,0,0,0,0
9,0.50001,961,0,0,0,0,961,0,0,0,0,0
10,0.499997,966,0,0,0,0,966,0,0,0,0,0
11,0.50006,969,0,0,0,0,969,0,0,0,0,0
12,0.500043,972,0,0,0,0,972,0,0,0,0,0
13,0.499947,975,0,0,0,0,975,0,0,0,0,0
14,0.49989,979,0,0,0,0,979,0,0,0,0,0
15,0.499874,981,0,0,0,0,981,0,0,0,0,0
16,0.499868,983,0,0,0,0,983,0,0,0,0,0
17,0.499881,985,0,0,0,0,985,0,0,0,0,0
18,0.499875,989,0,0,0,0,989,0,0,0,0,0
19,0.499875,989,0,0,0,0,989,0,0,0,0,0
20,0.49991,993,0,0,0,0,993,0,0,0,0,0
21,0.499935,996,0,0,0,0,996,0,0,0,0,0
22,0.499896,998,0,0,0,0,998,0,0,0,0,0
23,0.499896,998,0,0,0,0,998,0,0,0,0,0
24,0.499899,998,0,0,0,0,998,0,0,0,0,0
25,0.499823,1000,0,0,0,0,1000,0,0,0,0,0
26,0.499821,1002,0,0,0,0,1002,0,0,0,0,0
27,0.499811,1003,0,0,0,0,1003,0,0,0,0,0
28,0.499811,1003,0,0,0,0,1003,0,0,0,0,0
29,0.499799,1004,0,0,0,0,1004,0,0,0,0,0
30,0.499799,1004,0,0,0,0,1004,0,0,0,0,0
31,0.499799,1004,0,0,0,0,1004,0,0,0,0,0
32,0.499833,1005,0,0,0,0,1005,0,0,0,0,0
33,0.499839,1005,0,0,0,0,1005,0,0,0,0,0
34,0.499861,1007,0,0,0,0,1007,0,0,0,0,0
35,0.499843,1009,0,0,0,0,1009,0,0,0,0,0
36,0.499816,1009,0,0,0,0,1009,0,0,0,0,0
37,0.499803,1010,0,0,0,0,1010,0,0,0,0,0
38,0.499837,1011,0,0,0,0,1011,0,0,0,0,0
39,0.499837,1014,0,0,0,0,1014,0,0,0,0,0
40,0.499837,1014,0,0,0,0,1014,0,0,0,0,0
41,0.499837,1014,0,0,0,0,1014,0,0,0,0,0
42,0.499855,1014,0,0,0,0,1014,0,0,0,0,0
43,0.499823,1015,0,0,0,0,1015,0,0,0,0,0
44,0.499823,1015,0,0,0,0,1015,0,0,0,0,0
45,0.499812,1017,0,0,0,0,1017,0,0,0,0,0
46,0.499812,1017,0,0,0,0,1017,0,0,0,0,0
47,0.499821,1018,0,0,0,0,1018,0,0,0,0,0
48,0.499821,1018,0,0,0,0,1018,0,0,0,0,0
49,0.499821,1018,0,0,0,0,1018,0,0,0,0,0
50,0.499798,1018,0,0,0,0,1018,0,0,0,0,0
51,0.499798,1018,0,0,0,0,1018,0,0,0,0,0
52,0.499798,1018,0,0,0,0,1018,0,0,0,0,0
53,0.499793,1019,0,0,0,0,1019,0,0,0,0,0
54,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
55,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
56,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
57,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
58,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
59,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
60,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
61,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
62,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
63,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
64,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
65,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
66,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
67,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
68,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
69,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
70,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
71,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
72,0.499736,1019,0,0,0,0,1019,0,0,0,0,0
73,0.499695,1019,0,0,0,0,1019,0,0,0,0,0
74,0.499695,1019,0,0,0,0,1019,0,0,0,0,0
75,0.499695,1019,0,0,0,0,1019,0,0,0,0,0
76,0.499695,1019,0,0,0,0,1019,0,0,0,0,0
77,0.499695,1019,0,0,0,0,1019,0,0,0,0,0
78,0.499695,1019,0,0,0,0,1019,0,0,0,0,0
79,0.499668,1020,0,0,0,0,1020,0,0,0,0,0
80,0.499668,1020,0,0,0,0,1020,0,0,0,0,0
81,0.499616,1020,0,0,0,0,1020,0,0,0,0,0
82,0.499616,1020,0,0,0,0,1020,0,0,0,0,0
83,0.499653,1020,0,0,0,0,1020,0,0,0,0,0
84,0.499653,1020,0,0,0,0,1020,0,0,0,0,0
85,0.499653,1020,0,0,0,0,1020,0,0,0,0,0
86,0.499653,1020,0,0,0,0,1020,0,0,0,0,0
87,0.499653,1020,0,0,0,0,1020,0,0,0,0,0
88,0.499707,1020,0,0,0,0,1020,0,0,0,0,0
89,0.499707,1020,0,0,0,0,1020,0,0,0,0,0
