update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.5,958,0,0,0,0,958,0,0,0,0,0
1,0.500032,1076,0,0,0,0,1076,0,0,0,0,0
2,0.500077,1277,0,0,0,0,1277,0,0,0,0,0
3,0.500051,1534,0,0,0,0,1534,0,0,0,0,0
4,0.500056,1866,0,0,0,0,1866,0,0,0,0,0
5,0.50001,2225,0,0,0,0,2225,0,0,0,0,0
6,0.500004,2605,0,0,0,0,2605,0,0,0,0,0
7,0.499981,2994,0,0,0,0,2994,0,0,0,0,0
8,0.499986,3428,0,0,0,0,3428,0,0,0,0,0
9,0.499939,3878,0,0,0,0,3878,0,0,0,0,0
10,0.499919,4367,0,0,0,0,4367,0,0,0,0,0
11,0.499974,4855,0,0,0,0,4855,0,0,0,0,0
12,0.499979,5319,0,0,0,0,5319,0,0,0,0,0
13,0.499961,5800,0,0,0,0,5800,0,0,0,0,0
14,0.5,6266,0,0,0,0,6266,0,0,0,0,0
15,0.499998,6696,0,0,0,0,6696,0,0,0,0,0
16,0.499986,7123,0,0,0,0,7123,0,0,0,0,0
17,0.499982,7520,0,0,0,0,7520,0,0,0,0,0
18,0.500013,7875,0,0,0,0,7875,0,0,0,0,0
19,0.500009,8214,0,0,0,0,8214,0,0,0,0,0
20,0.49992,8498,0,0,0,0,8498,0,0,0,0,0
21,0.499916,8746,0,0,0,0,8746,0,0,0,0,0
22,0.499899,8971,0,0,0,0,8971,0,0,0,0,0
23,0.499934,9157,0,0,0,0,9157,0,0,0,0,0
24,0.499891,9331,0,0,0,0,9331,0,0,0,0,0
25,0.499909,9489,0,0,0,0,9489,0,0,0,0,0
26,0.499945,9596,0,0,0,0,9596,0,0,0,0,0
27,0.499946,9685,0,0,0,0,9685,0,0,0,0,0
28,0.49996,9753,0,0,0,0,9753,0,0,0,0,0
29,0.499964,9818,0,0,0,0,9818,0,0,0,0,0
30,0.49995,9857,0,0,0,0,9857,0,0,0,0,0
31,0.499922,9894,0,0,0,0,9894,0,0,0,0,0
32,0.499874,9918,0,0,0,0,9918,0,0,0,0,0
33,0.499829,9943,0,0,0,0,9943,0,0,0,0,0
34,0.499748,9964,0,0,0,0,9964,0,0,0,0,0
35,0.49977,9974,0,0,0,0,9974,0,0,0,0,0
36,0.499801,9985,0,0,0,0,9985,0,0,0,0,0
37,0.499769,9988,0,0,0,0,9988,0,0,0,0,0
38,0.499778,9991,0,0,0,0,9991,0,0,0,0,0
39,0.499748,9996,0,0,0,0,9996,0,0,0,0,0
40,0.499704,9998,0,0,0,0,9998,0,0,0,0,0
