generation,genome,fitness
0,0.709691,0.0582522
0,0.915586,-0.0874642
0,0.785162,0.292724
0,0.0460402,-0.189941
0,0.204582,1.24963
0,0.338734,0.3357
0,0.922518,-0.123139
0,0.749806,0.225688
0,0.156249,1.12566
0,0.590774,-0.664229
0,0.319473,0.534554
0,0.103285,0.649994
0,0.863545,0.155872
0,0.642832,-0.352068
0,0.239347,1.16033
0,0.738018,0.185688
0,0.159413,1.14303
0,0.242924,1.14353
0,0.738198,0.186361
0,0.890468,0.0381398
0,0.475915,-0.791086
0,0.211319,1.24337
0,0.204897,1.24946
0,0.973004,-0.363537
0,0.913778,-0.078182
0,0.690175,-0.0505271
0,0.856132,0.183457
0,0.819008,0.279109
0,0.186107,1.23775
0,0.504348,-0.859793
0,0.866793,0.143037
0,0.423529,-0.48565
0,0.979588,-0.389106
0,0.28748,0.836627
0,0.272339,0.959119
0,0.0317935,-0.433739
0,0.910891,-0.0634
0,0.953882,-0.279649
0,0.313966,0.5897
0,0.692305,-0.037995
0,0.683811,-0.0887795
0,0.883837,0.0692757
0,0.345773,0.261757
0,0.368575,0.0233515
0,0.84442,0.221747
0,0.536382,-0.85288
0,0.332837,0.39731
0,0.264287,1.01722
0,0.259926,1.04641
0,0.103197,0.648929
1,0.103285,0.649994
1,0.211319,1.24337
1,0.156249,1.12566
1,0.211319,1.24337
1,0.156249,1.12566
1,0.103197,0.648929
1,0.242924,1.14353
1,0.239347,1.16033
1,0.204897,1.24946
1,0.000537417,-0.990326
1,0.272339,0.959119
1,0.592828,-0.653651
1,0.819008,0.279109
1,0.211319,1.24337
1,0.103285,0.649994
1,0.103285,0.649994
1,0.259926,1.04641
1,0.738198,0.186361
1,0.211319,1.24337
1,0.856132,0.183457
1,0.84442,0.221747
1,0.264287,1.01722
1,0.272339,0.959119
1,-0.025298,-1.45175
1,0.211319,1.24337
1,0.272339,0.959119
1,1.04651,-0.500576
1,0.239347,1.16033
1,0.156249,1.12566
1,0.359857,0.113842
1,0.204897,1.24946
1,0.103197,0.648929
1,0.738018,0.185688
1,1.5573,0.228996
1,0.264287,1.01722
1,0.204582,1.24963
1,0.159413,1.14303
1,0.211319,1.24337
1,0.785162,0.292724
1,0.156249,1.12566
1,0.272339,0.959119
1,0.386211,-0.154152
1,0.332837,0.39731
1,0.272339,0.959119
1,0.239347,1.16033
1,0.345773,0.261757
1,0.186107,1.23775
1,0.738018,0.185688
1,0.259926,1.04641
1,0.272339,0.959119
2,0.156249,1.12566
2,0.204897,1.24946
2,0.204897,1.24946
2,0.204582,1.24963
2,0.211319,1.24337
2,0.204897,1.24946
2,0.808816,0.291108
2,0.264287,1.01722
2,0.211319,1.24337
2,0.156249,1.12566
2,1.08359,-0.411461
2,0.307499,0.653059
2,0.250356,1.10448
2,0.272339,0.959119
2,0.693937,-0.0284859
2,0.156249,1.12566
2,1.18775,0.430747
2,0.239347,1.16033
2,0.239347,1.16033
2,0.204897,1.24946
2,0.211319,1.24337
2,0.103197,0.648929
2,-0.257921,-2.99312
2,-0.798324,-1.69224
2,0.513136,-0.866608
2,0.211319,1.24337
2,0.272339,0.959119
2,0.272339,0.959119
2,0.799758,0.296124
2,0.819008,0.279109
2,0.204897,1.24946
2,0.211319,1.24337
2,0.204897,1.24946
2,0.211319,1.24337
2,0.211319,1.24337
2,0.345773,0.261757
2,0.239347,1.16033
2,0.211319,1.24337
2,0.186107,1.23775
2,0.211319,1.24337
2,0.211319,1.24337
2,0.211319,1.24337
2,0.211319,1.24337
2,0.456884,-0.705652
2,0.785162,0.292724
2,0.204897,1.24946
2,0.103285,0.649994
2,0.103285,0.649994
2,0.279539,0.902889
2,0.103285,0.649994
3,0.299759,0.726515
3,0.884175,0.0677203
3,0.204582,1.24963
3,0.211319,1.24337
3,0.204582,1.24963
3,0.211319,1.24337
3,0.211319,1.24337
3,0.204897,1.24946
3,0.211319,1.24337
3,0.204897,1.24946
3,0.211319,1.24337
3,0.211319,1.24337
3,0.272339,0.959119
3,0.204582,1.24963
3,0.204897,1.24946
3,0.204897,1.24946
3,0.211319,1.24337
3,0.88347,0.0709657
3,0.204897,1.24946
3,0.239347,1.16033
3,0.211319,1.24337
3,0.343112,0.28974
3,0.204897,1.24946
3,0.204897,1.24946
3,-0.416261,-1.40202
3,0.211319,1.24337
3,0.204897,1.24946
3,0.264287,1.01722
3,0.211319,1.24337
3,0.204897,1.24946
3,0.211319,1.24337
3,0.211319,1.24337
3,-0.466093,-1.03581
3,1.06932,-0.459945
3,0.204897,1.24946
3,0.204897,1.24946
3,0.881693,0.0790866
3,0.211319,1.24337
3,1.03465,-0.504386
3,0.204897,1.24946
3,1.10653,-0.29609
3,0.134443,0.971146
3,0.211319,1.24337
3,0.250356,1.10448
3,1.02569,-0.499835
3,0.211319,1.24337
3,0.211319,1.24337
3,0.211319,1.24337
3,0.211319,1.24337
3,0.250356,1.10448
4,0.204582,1.24963
4,0.726234,0.137699
4,0.204897,1.24946
4,0.204582,1.24963
4,0.204897,1.24946
4,1.14178,-0.0340335
4,0.244698,1.13471
4,0.204897,1.24946
4,0.343112,0.28974
4,0.204897,1.24946
4,0.199211,1.25061
4,0.204897,1.24946
4,0.211319,1.24337
4,0.211319,1.24337
4,0.211319,1.24337
4,0.211319,1.24337
4,0.204897,1.24946
4,0.211319,1.24337
4,0.204897,1.24946
4,0.204582,1.24963
4,0.211319,1.24337
4,0.211319,1.24337
4,0.204897,1.24946
4,0.272339,0.959119
4,0.204582,1.24963
