update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.5,962,0,0,0,0,962,0,0,0,0,0
1,0.5,962,0,0,0,0,962,0,0,0,0,0
2,0.499977,985,0,0,0,0,985,0,0,0,0,0
3,0.499979,1030,0,0,0,0,1030,0,0,0,0,0
4,0.499966,1088,0,0,0,0,1088,0,0,0,0,0
5,0.499969,1164,0,0,0,0,1164,0,0,0,0,0
6,0.499954,1249,0,0,0,0,1249,0,0,0,0,0
7,0.499967,1341,0,0,0,0,1341,0,0,0,0,0
8,0.499973,1437,0,0,0,0,1437,0,0,0,0,0
9,0.499972,1548,0,0,0,0,1548,0,0,0,0,0
10,0.499969,1665,0,0,0,0,1665,0,0,0,0,0
11,0.499961,1791,0,0,0,0,1791,0,0,0,0,0
12,0.49996,1903,0,0,0,0,1903,0,0,0,0,0
13,0.499939,2038,0,0,0,0,2038,0,0,0,0,0
14,0.499939,2137,0,0,0,0,2137,0,0,0,0,0
15,0.499923,2279,0,0,0,0,2279,0,0,0,0,0
16,0.499912,2418,0,0,0,0,2418,0,0,0,0,0
17,0.499931,2575,0,0,0,0,2575,0,0,0,0,0
18,0.499932,2710,0,0,0,0,2710,0,0,0,0,0
19,0.499938,2864,0,0,0,0,2864,0,0,0,0,0
20,0.499934,3019,0,0,0,0,3019,0,0,0,0,0
21,0.499947,3171,0,0,0,0,3171,0,0,0,0,0
22,0.499961,3317,0,0,0,0,3317,0,0,0,0,0
23,0.499971,3472,0,0,0,0,3472,0,0,0,0,0
24,0.499975,3609,0,0,0,0,3609,0,0,0,0,0
25,0.49999,3764,0,0,0,0,3764,0,0,0,0,0
26,0.499939,3933,0,0,0,0,3933,0,0,0,0,0
27,0.499957,4085,0,0,0,0,4085,0,0,0,0,0
28,0.499969,4249,0,0,0,0,4249,0,0,0,0,0
29,0.499983,4418,0,0,0,0,4418,0,0,0,0,0
30,0.499988,4605,0,0,0,0,4605,0,0,0,0,0
31,0.499999,4776,0,0,0,0,4776,0,0,0,0,0
32,0.500003,4941,0,0,0,0,4941,0,0,0,0,0
33,0.500003,5106,0,0,0,0,5106,0,0,0,0,0
34,0.499999,5295,0,0,0,0,5295,0,0,0,0,0
35,0.499991,5471,0,0,0,0,5471,0,0,0,0,0
36,0.500018,5639,0,0,0,0,5639,0,0,0,0,0
37,0.500036,5814,0,0,0,0,5814,0,0,0,0,0
38,0.500021,5980,0,0,0,0,5980,0,0,0,0,0
39,0.500018,6156,0,0,0,0,6156,0,0,0,0,0
40,0.500017,6282,0,0,0,0,6282,0,0,0,0,0
41,0.499987,6463,0,0,0,0,6463,0,0,0,0,0
42,0.500001,6615,0,0,0,0,6615,0,0,0,0,0
43,0.499998,6767,0,0,0,0,6767,0,0,0,0,0
44,0.499997,6924,0,0,0,0,6924,0,0,0,0,0
45,0.499998,7048,0,0,0,0,7048,0,0,0,0,0
46,0.500006,7198,0,0,0,0,7198,0,0,0,0,0
47,0.50003,7342,0,0,0,0,7342,0,0,0,0,0
48,0.500029,7462,0,0,0,0,7462,0,0,0,0,0
49,0.500011,7591,0,0,0,0,7591,0,0,0,0,0
50,0.500006,7719,0,0,0,0,7719,0,0,0,0,0
51,0.500021,7839,0,0,0,0,7839,0,0,0,0,0
52,0.500047,7958,0,0,0,0,7958,0,0,0,0,0
53,0.500059,8066,0,0,0,0,8066,0,0,0,0,0
54,0.500087,8174,0,0,0,0,8174,0,0,0,0,0
55,0.500093,8278,0,0,0,0,8278,0,0,0,0,0
