update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.5,958,0,0,0,0,958,0,0,0,0,0
1,0.500016,1059,0,0,0,0,1059,0,0,0,0,0
2,0.500013,1201,0,0,0,0,1201,0,0,0,0,0
3,0.499988,1379,0,0,0,0,1379,0,0,0,0,0
4,0.500048,1586,0,0,0,0,1586,0,0,0,0,0
5,0.500082,1803,0,0,0,0,1803,0,0,0,0,0
6,0.500059,2064,0,0,0,0,2064,0,0,0,0,0
7,0.500061,2362,0,0,0,0,2362,0,0,0,0,0
8,0.500107,2664,0,0,0,0,2664,0,0,0,0,0
9,0.500081,2978,0,0,0,0,2978,0,0,0,0,0
10,0.500072,3280,0,0,0,0,3280,0,0,0,0,0
11,0.500076,3605,0,0,0,0,3605,0,0,0,0,0
12,0.500067,3964,0,0,0,0,3964,0,0,0,0,0
13,0.500041,4314,0,0,0,0,4314,0,0,0,0,0
14,0.500029,4677,0,0,0,0,4677,0,0,0,0,0
15,0.500031,5050,0,0,0,0,5050,0,0,0,0,0
16,0.500053,5426,0,0,0,0,5426,0,0,0,0,0
17,0.500033,5789,0,0,0,0,5789,0,0,0,0,0
18,0.499985,6147,0,0,0,0,6147,0,0,0,0,0
19,0.499975,6469,0,0,0,0,6469,0,0,0,0,0
20,0.49996,6795,0,0,0,0,6795,0,0,0,0,0
21,0.499932,7074,0,0,0,0,7074,0,0,0,0,0
22,0.499911,7352,0,0,0,0,7352,0,0,0,0,0
23,0.499933,7658,0,0,0,0,7658,0,0,0,0,0
24,0.499919,7904,0,0,0,0,7904,0,0,0,0,0
25,0.499912,8122,0,0,0,0,8122,0,0,0,0,0
26,0.499933,8347,0,0,0,0,8347,0,0,0,0,0
27,0.499894,8548,0,0,0,0,8548,0,0,0,0,0
28,0.499913,8730,0,0,0,0,8730,0,0,0,0,0
29,0.499889,8884,0,0,0,0,8884,0,0,0,0,0
30,0.499906,9038,0,0,0,0,9038,0,0,0,0,0
31,0.499919,9179,0,0,0,0,9179,0,0,0,0,0
32,0.499877,9310,0,0,0,0,9310,0,0,0,0,0
33,0.499875,9422,0,0,0,0,9422,0,0,0,0,0
34,0.499811,9505,0,0,0,0,9505,0,0,0,0,0
35,0.499739,9596,0,0,0,0,9596,0,0,0,0,0
36,0.499785,9669,0,0,0,0,9669,0,0,0,0,0
37,0.499756,9717,0,0,0,0,9717,0,0,0,0,0
38,0.499734,9764,0,0,0,0,9764,0,0,0,0,0
39,0.499719,9811,0,0,0,0,9811,0,0,0,0,0
40,0.499702,9844,0,0,0,0,9844,0,0,0,0,0
41,0.499675,9879,0,0,0,0,9879,0,0,0,0,0
42,0.499657,9900,0,0,0,0,9900,0,0,0,0,0
43,0.499619,9915,0,0,0,0,9915,0,0,0,0,0
44,0.499615,9933,0,0,0,0,9933,0,0,0,0,0
45,0.499644,9944,0,0,0,0,9944,0,0,0,0,0
46,0.499691,9955,0,0,0,0,9955,0,0,0,0,0
47,0.499682,9962,0,0,0,0,9962,0,0,0,0,0
48,0.499667,9971,0,0,0,0,9971,0,0,0,0,0
49,0.499671,9975,0,0,0,0,9975,0,0,0,0,0
50,0.499667,9982,0,0,0,0,9982,0,0,0,0,0
51,0.49965,9985,0,0,0,0,9985,0,0,0,0,0
52,0.499656,9987,0,0,0,0,9987,0,0,0,0,0
53,0.499594,9988,0,0,0,0,9988,0,0,0,0,0
54,0.499579,9991,0,0,0,0,9991,0,0,0,0,0
55,0.499529,9994,0,0,0,0,9994,0,0,0,0,0
56,0.499518,9994,0,0,0,0,9994,0,0,0,0,0
57,0.499502,9995,0,0,0,0,9995,0,0,0,0,0
58,0.499522,9997,0,0,0,0,9997,0,0,0,0,0
59,0.499553,9997,0,0,0,0,9997,0,0,0,0,0
60,0.499553,9997,0,0,0,0,9997,0,0,0,0,0
61,0.499464,9998,0,0,0,0,9998,0,0,0,0,0
62,0.499426,9999,0,0,0,0,9999,0,0,0,0,0
63,0.499466,9999,0,0,0,0,9999,0,0,0,0,0
64,0.499493,9999,0,0,0,0,9999,0,0,0,0,0
65,0.499487,10000,0,0,0,0,10000,0,0,0,0,0
66,0.499588,10000,0,0,0,0,10000,0,0,0,0,0
67,0.49956,10000,0,0,0,0,10000,0,0,0,0,0
68,0.499561,10000,0,0,0,0,10000,0,0,0,0,0
